SN,Trial,LL,SS,DD,Condition,SS_Right,LL_Position,Chose1SS,RT1,Chose2SS,LeftRT1,LeftRT2,LeftRT3,RightRT1,RightRT2,RightRT3,doEye
999,1,68,50,59,3,1,2,1,8.0606,1,-1,-1,-1,0.21747,0.48207,0.79938,0
SN,Trial,LL,SS,DD,Condition,SS_Right,LL_Position,Chose1SS,RT1,Chose2SS,LeftRT1,LeftRT2,LeftRT3,RightRT1,RightRT2,RightRT3,doEye
SN,Trial,LL,SS,DD,Condition,SS_Right,LL_Position,Chose1SS,RT1,Chose2SS,LeftRT1,LeftRT2,LeftRT3,RightRT1,RightRT2,RightRT3,doEye
SN,Trial,LL,SS,DD,Condition,SS_Right,LL_Position,Chose1SS,RT1,Chose2SS,LeftRT1,LeftRT2,LeftRT3,RightRT1,RightRT2,RightRT3,doEye
999,1,65,40,64,3,1,1,1,2.2642,1,-1,-1,-1,1.112,1.1292,1.143,0
999,2,60,43,75,3,1,0,0,1.3049,0,0.97481,0.98965,1.0056,-1,-1,-1,0
999,3,36,30,23,3,0,2,0,0.52879,0,-1,-1,-1,0.85106,0.86771,0.88328,0
999,1,33,15,91,4,0,2,0,0.69237,0,-1,-1,-1,0.25173,0.26578,0.27864,0
999,2,60,30,43,4,1,0,1,0.59096,1,-1,-1,-1,0.2533,0.26832,0.2833,0
999,3,87,75,49,4,0,1,0,0.48092,0,-1,-1,-1,0.22965,0.24334,0.25598,0
