SS,LL,DD
60,94,88
18,40,92
52,70,97
10,27,93
24,50,83
50,68,77
70,81,48
55,75,61
67,90,51
50,58,20
50,80,78
60,70,51
20,29,56
40,47,42
69,80,40
55,87,79
40,89,99
35,41,38
55,64,50
52,60,32
25,51,49
20,24,60
50,58,31
52,60,47
43,60,35
30,36,23
21,25,25
25,30,80
30,51,95
38,45,35
73,85,34
29,35,34
13,15,18
10,12,36
52,70,52
56,65,49
71,95,97
64,75,40
50,68,59
10,12,50
32,45,53
24,60,52
47,55,23
10,27,74
40,65,64
10,12,19
52,60,23
21,30,94
33,55,62
37,50,94
41,90,88
37,50,80
15,22,74
13,15,10
70,81,35
25,36,15
65,88,57
56,65,41
35,67,99
45,73,75
27,45,93
51,95,95
10,22,80
45,73,90
15,18,60
52,60,37
10,18,47
10,15,87
59,80,95
15,18,36
10,12,11
61,95,80
35,57,82
17,20,54
80,93,31
80,93,50
35,41,27
21,30,15
25,51,83
15,22,16
53,85,82
71,95,77
33,65,79
67,90,98
35,67,66
75,87,49
25,36,54
13,25,93
45,62,99
29,35,48
82,95,49
21,30,74
60,94,59
30,36,60
21,25,58
64,75,52
25,61,99
15,18,12
34,40,54
25,43,62
21,25,46
20,24,46
45,53,54
47,55,52
20,35,98
10,22,94
34,40,47
59,80,75
35,79,87
27,45,77
13,20,62
19,25,53
55,64,36
17,20,22
44,85,84
45,53,30
10,18,80
30,43,80
40,47,12
82,95,43
40,65,93
25,61,85
13,20,97
43,60,75
52,70,82
15,22,61
15,40,92
15,40,52
35,48,93
13,15,47
20,24,12
60,94,82
12,20,56
13,15,25
12,20,82
20,42,90
13,20,41
40,47,36
65,76,44
29,35,27
60,81,87
70,94,52
30,60,43
70,94,98
47,75,95
15,27,66
70,94,76
75,87,41
54,80,30
30,43,39
45,62,59
56,65,31
32,45,39
10,27,82
24,50,90
38,45,41
15,33,91
35,41,52
25,43,91
30,36,36
20,29,90
25,36,77
29,50,81
10,22,67
61,95,88
13,15,35
30,43,92
49,60,89
40,47,53
21,25,10
10,15,36
50,94,82
17,20,43
15,27,83
17,20,10
45,62,74
38,45,56
53,85,57
33,65,96
34,40,35
47,55,46
44,85,97
32,45,77
17,35,79
15,18,21
32,45,95
30,51,84
10,15,81
50,68,98
40,76,91
17,20,36
20,29,40
20,42,83
80,93,38
10,18,89
20,24,19
12,20,93
33,55,88
15,22,41
10,18,24
21,30,57
21,25,30
29,50,98
65,88,95
65,88,76
15,27,91
29,35,62
20,50,94
27,45,37
10,15,56
64,75,24
35,57,61
65,76,52
13,25,84
34,40,18
35,48,76
50,58,41
55,87,93
65,76,34
20,50,67
85,98,47
20,24,31
10,18,59
30,36,11
99,10,10
99,10,99
11,10,10
11,10,99
99,98,10
99,98,99
